Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;UPZ;Zona;Valor
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;70;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 360.000.000
Casa;Casa en venta en Castilla;4;3;170;Castilla;KENNEDY: Castilla + Bavaria;KENNEDY;$ 670.000.000
Apartamento;Apartamento en venta en Chico Reservado;3;3;144;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 1.120.000.000
Apartamento;Apartamento en venta en USAQUEN;3;2;154;USAQUEN;USAQUEN;USAQUEN;$ 890.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;3;128;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 970.000.000
Apartamento;Apartamento en venta en Bella Suiza;1;2;62;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 510.000.000
Apartamento;Apartamento en venta en Bella Suiza;1;2;62;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 500.000.000
Apartamento;Apartamento en venta en Bella Suiza;3;4;212;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 2.350.000.000
Apartamento;Apartamento en venta en El Chico;3;2;159;El Chico;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 850.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;2;80;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 642.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;2;80;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 652.000.000
Casa;Casa en venta en Tintala;3;2;59;Tintala;Tintala;Tintala;$ 168.000.000
Apartamento;Apartamento en venta en Tintala;2;1;45;Tintala;Tintala;Tintala;$ 205.000.000
Casa;Casa en venta en Marly;3;3;147;Marly;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 300.000.000
Apartamento;Apartamento en venta en Kennedy;4;3;98;Kennedy;Kennedy Central;Kennedy Central;$ 680.000.000
Casa;Casa en venta en Zona Noroccidental;3;4;300;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 2.519.000.000
Apartamento;Apartamento en venta en Nicolas De Federman;3;2;87;Nicolas De Federman;Teusaquillo;Teusaquillo;$ 420.000.000
Apartamento;Apartamento en venta en La Calleja;2;2;82;La Calleja;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 620.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 239.000.000
Casa;Casa en venta en Zona Noroccidental;3;6;380;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.600.000.000
Apartamento;Apartamento en venta en USAQUEN;1;2;50;USAQUEN;USAQUEN;USAQUEN;$ 420.000.000
Apartamento;Apartamento en venta en Nicolas De Federman;3;2;89;Nicolas De Federman;Teusaquillo;Teusaquillo;$ 625.000.000
Casa;Casa en venta en Zona Noroccidental;3;5;365;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 2.799.000.000
Casa;Casa en venta en Zona Noroccidental;5;5;450;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.450.000.000
Casa;Casa en venta en Zona Noroccidental;4;5;315;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 2.000.000.000
Apartamento;Apartamento en venta en Mazuren;3;3;102;Mazuren;El Prado;El Prado;$ 670.000.000
Casa;Casa en venta en Zona Noroccidental;4;6;423;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.800.000.000
Apartamento;Apartamento en venta en Suba;3;2;75;Suba;Suba;Suba;$ 469.000.000
Casa;Casa en venta en Zona Noroccidental;5;2;200;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 580.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;67;Barrios Unidos;Los Andes;Los Andes;$ 445.000.000
Apartamento;Apartamento en venta en USAQUEN;3;3;66;USAQUEN;USAQUEN;USAQUEN;$ 261.500.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 278.000.000
Apartamento;Apartamento en venta en Engativa;3;2;60;Engativa;Engativa;Engativa;$ 258.000.000
Apartamento;Apartamento en venta en Fontibon;3;3;87;Fontibon;Fontibon;Fontibon;$ 520.000.000
Casa;Casa en venta en Tintala;3;2;75;Tintala;Tintala;Tintala;$ 200.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 129.000.000
Apartamento;Apartamento en venta en Villa Alsacia;3;2;75;Villa Alsacia;KENNEDY: Castilla + Bavaria;KENNEDY;$ 350.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;32;2;63;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 290.500.000
Apartamento;Apartamento en venta en Palermo;3;2;130;Palermo;Galerias;Galerias;$ 750.000.000
Apartamento;Apartamento en venta en Chico Reservado;1;1;64;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 495.000.000
Casa;Casa en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 285.000.000
Apartamento;Apartamento en venta en La Candelaria;4;4;160;La Candelaria;La Candelaria;La Candelaria;$ 900.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;4;4;294;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.800.000.000
Apartamento;Apartamento en venta en El Contador;3;3;206;El Contador;Los Cedros;Los Cedros;$ 990.000.000
Apartamento;Apartamento en venta en El Batan;3;3;103;El Batan;La Alhambra;La Alhambra;$ 418.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;80;USAQUEN;USAQUEN;USAQUEN;$ 349.000.000
Apartamento;Apartamento en venta en Santa Barbara;3;1;101;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 565.000.000
Apartamento;Apartamento en venta en Mirandela ;3;3;87;Mirandela ;SUBA: La Academia + Guaymaral + San José de Bavaria;SUBA;$ 370.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 259.000.000
Apartamento;Apartamento en venta en Castilla;3;2;68;Castilla;KENNEDY: Castilla + Bavaria;KENNEDY;$ 310.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;79;Cedritos;USAQUEN;USAQUEN;$ 354.000.000
Apartamento;Apartamento en venta en Mazuren;3;3;92;Mazuren;El Prado;El Prado;$ 372.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;88;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 500.000.000
Apartamento;Apartamento en venta en Fontibon;3;2;84;Fontibon;Fontibon;Fontibon;$ 420.000.000
Apartamento;Apartamento en venta en El Contador;3;3;177;El Contador;Los Cedros;Los Cedros;$ 1.050.000.000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;Kennedy Central;$ 185.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;80;USAQUEN;USAQUEN;USAQUEN;$ 349.000.000
Apartamento;Apartamento en venta en Colina Campestre;3;3;109;Colina Campestre;Niza;Niza;$ 515.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;75;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 287.000.000
Apartamento;Apartamento en venta en Colina Campestre;2;1;50;Colina Campestre;Niza;Niza;$ 265.000.000
Apartamento;Apartamento en venta en Fontibon;3;2;87;Fontibon;Fontibon;Fontibon;$ 500.000.000
Apartamento;Apartamento en venta en USAQUEN;3;3;66;USAQUEN;USAQUEN;USAQUEN;$ 261.500.000
Apartamento;Apartamento en venta en Hayuelos;3;2;61;Hayuelos;Modelia;Modelia;$ 300.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 278.000.000
Apartamento;Apartamento en venta en Engativa;3;2;60;Engativa;Engativa;Engativa;$ 258.000.000
Apartamento;Apartamento en venta en Fontibon;3;3;87;Fontibon;Fontibon;Fontibon;$ 520.000.000
Apartamento;Apartamento en venta en Villa Alsacia;3;2;75;Villa Alsacia;KENNEDY: Castilla + Bavaria;KENNEDY;$ 350.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;32;2;63;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 290.500.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 129.000.000
Casa;Casa en venta en Tintala;3;2;75;Tintala;Tintala;Tintala;$ 200.000.000
Apartamento;Apartamento en venta en Palermo;3;2;130;Palermo;Galerias;Galerias;$ 750.000.000
Apartamento;Apartamento en venta en El Batan;3;3;103;El Batan;La Alhambra;La Alhambra;$ 418.000.000
Apartamento;Apartamento en venta en Chico Reservado;1;1;64;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 495.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;80;USAQUEN;USAQUEN;USAQUEN;$ 349.000.000
Apartamento;Apartamento en venta en Castilla;3;2;68;Castilla;KENNEDY: Castilla + Bavaria;KENNEDY;$ 310.000.000
Apartamento;Apartamento en venta en Santa Barbara;3;1;101;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 565.000.000
Apartamento;Apartamento en venta en Mirandela ;3;3;87;Mirandela ;SUBA: La Academia + Guaymaral + San José de Bavaria;SUBA;$ 370.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 259.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;79;Cedritos;USAQUEN;USAQUEN;$ 354.000.000
Casa;Casa en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 285.000.000
Apartamento;Apartamento en venta en Fontibon;3;2;84;Fontibon;Fontibon;Fontibon;$ 420.000.000
Apartamento;Apartamento en venta en Mazuren;3;3;92;Mazuren;El Prado;El Prado;$ 372.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;88;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 500.000.000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;Kennedy Central;$ 185.000.000
Apartamento;Apartamento en venta en El Contador;3;3;177;El Contador;Los Cedros;Los Cedros;$ 1.050.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;80;USAQUEN;USAQUEN;USAQUEN;$ 349.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;4;4;294;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.800.000.000
Apartamento;Apartamento en venta en La Candelaria;4;4;160;La Candelaria;La Candelaria;La Candelaria;$ 900.000.000
Apartamento;Apartamento en venta en El Contador;3;3;206;El Contador;Los Cedros;Los Cedros;$ 990.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;60;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 225.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;1;44;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 148.000.000
Apartamento;Apartamento en venta en Engativa;2;2;53;Engativa;Engativa;Engativa;$ 331.500.000
Apartamento;Apartamento en venta en Zona Noroccidental;1;1;58;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 300.000.000
Apartamento;Apartamento en venta en USAQUEN;3;2;152;USAQUEN;USAQUEN;USAQUEN;$ 1.030.000.000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;Kennedy Central;$ 195.000.000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;Kennedy Central;$ 200.000.000
Apartamento;Apartamento en venta en Fontibon;3;1;48;Fontibon;Fontibon;Fontibon;$ 168.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;68;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 323.000.000
Casa;Casa en venta en Kennedy;3;2;86;Kennedy;Kennedy Central;Kennedy Central;$ 275.000.000
Apartamento;Apartamento en venta en Santa Barbara;3;3;114;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 510.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;44;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 176.000.000
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;100;Ciudad Salitre;Ciudad Salitre Oriental;Ciudad Salitre Oriental;$ 680.000.000
Apartamento;Apartamento en venta en Quinta Paredes;3;2;100;Quinta Paredes;Teusaquillo;Teusaquillo;$ 680.000.000
Apartamento;Apartamento en venta en Hayuelos;3;2;45;Hayuelos;Modelia;Modelia;$ 217.000.000
Apartamento;Apartamento en venta en USAQUEN;3;5;178;USAQUEN;USAQUEN;USAQUEN;$ 1.050.000.000
Casa;Casa en venta en USAQUEN;4;3;105;USAQUEN;USAQUEN;USAQUEN;$ 375.000.000
Apartamento;Apartamento en venta en Cedritos;3;2;98;Cedritos;USAQUEN;USAQUEN;$ 458.000.000
Oficina/Consultorio;Oficina/Consultorio en venta en Ciudad Salitre;4;2;200;Ciudad Salitre;Ciudad Salitre Oriental;Ciudad Salitre Oriental;$ 2.000.000.000
Apartamento;Apartamento en venta en Santa Barbara;1;2;69;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 425.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;73;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 318.000.000
Apartamento;Apartamento en venta en Cedritos;4;4;158;Cedritos;USAQUEN;USAQUEN;$ 660.000.000
Apartamento;Apartamento en venta en USAQUEN;3;4;100;USAQUEN;USAQUEN;USAQUEN;$ 730.000.000
Apartamento;Apartamento en venta en Candelaria La Nueva;3;1;54;Candelaria La Nueva;La Candelaria;La Candelaria;$ 140.000.000
Apartamento;Apartamento en venta en Kennedy;3;2;78;Kennedy;Kennedy Central;Kennedy Central;$ 343.000.000
Apartamento;Apartamento en venta en Kennedy;3;2;89;Kennedy;Kennedy Central;Kennedy Central;$ 385.000.000
Casa;Casa en venta en Zona Noroccidental;4;4;220;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.300.000.000
Casa;Casa en venta en Zona Noroccidental;4;3;280;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.195.000.000
Apartamento;Apartamento en venta en Santa Barbara;2;3;85;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 519.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;2;54;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 350.000.000
Apartamento;Apartamento en venta en Engativa;3;2;49;Engativa;Engativa;Engativa;$ 202.000.000
Apartamento;Apartamento en venta en Colina Campestre;4;3;115;Colina Campestre;Niza;Niza;$ 429.000.000
Apartamento;Apartamento en venta en Chico Norte;2;2;88;Chico Norte;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 640.000.000
Apartamento;Apartamento en venta en Mazuren;2;2;67;Mazuren;El Prado;El Prado;$ 435.000.000
Apartamento;Apartamento en venta en USAQUEN;3;2;100;USAQUEN;USAQUEN;USAQUEN;$ 610.000.000
Apartamento;Apartamento en venta en Normandia;2;2;77;Normandia;ENGATIVÁ: Santa Cecilia + Jardin  Botanico;ENGATIVÁ;$ 650.000.000
Apartamento;Apartamento en venta en Bella Suiza;1;2;61;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 421.000.000
Apartamento;Apartamento en venta en Chico Reservado;3;4;150;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 1.300.000.000
Apartamento;Apartamento en venta en Ciudad Bolivar;3;1;39;Ciudad Bolivar;CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo;CIUDAD BOLÍVAR;$ 155.000.000
Apartamento;Apartamento en venta en Cedritos;3;3;100;Cedritos;USAQUEN;USAQUEN;$ 530.000.000
Apartamento;Apartamento en venta en Engativa;2;2;58;Engativa;Engativa;Engativa;$ 330.000.000
Apartamento;Apartamento en venta en Bosa;3;2;60;Bosa;Bosa Central;Bosa Central;$ 225.000.000
Apartamento;Apartamento en venta en Rafael Uribe Uribe;3;1;50;Rafael Uribe Uribe;Los Alcazares;Los Alcazares;$ 143.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;51;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 245.500.000
Apartamento;Apartamento en venta en Cedritos;2;3;97;Cedritos;USAQUEN;USAQUEN;$ 433.000.000
Apartamento;Apartamento en venta en Cedritos;3;2;71;Cedritos;USAQUEN;USAQUEN;$ 315.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;3;82;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 450.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;1;1;57;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 350.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;51;USAQUEN;USAQUEN;USAQUEN;$ 205.000.000
Casa;Casa en venta en USAQUEN;4;5;236;USAQUEN;USAQUEN;USAQUEN;$ 1.200.000.000
Apartamento;Apartamento en venta en Fontibon;3;2;54;Fontibon;Fontibon;Fontibon;$ 169.000.000
Apartamento;Apartamento en venta en Santa Barbara;1;2;66;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 375.000.000
Apartamento;Apartamento en venta en Las Villas;3;3;120;Las Villas;Niza;Niza;$ 460.000.000
Apartamento;Apartamento en venta en Cedritos;1;2;48;Cedritos;USAQUEN;USAQUEN;$ 308.000.000
Apartamento;Apartamento en venta en Chico Reservado;2;4;104;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 1.100.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;69;Cedritos;USAQUEN;USAQUEN;$ 400.000.000
Casa;Casa en venta en Modelia;4;2;200;Modelia;Fontibon;Fontibon;$ 860.000.000
Casa;Casa en venta en USAQUEN;7;4;325;USAQUEN;USAQUEN;USAQUEN;$ 1.650.000.000
Apartamento;Apartamento en venta en San Patricio;1;1;53;San Patricio;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 565.000.000
Apartamento;Apartamento en venta en Barrancas;3;2;63;Barrancas;San Cristobal Norte;San Cristobal Norte;$ 238.000.000
Apartamento;Apartamento en venta en Cedritos;3;3;108;Cedritos;USAQUEN;USAQUEN;$ 503.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 330.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;69;Cedritos;USAQUEN;USAQUEN;$ 400.000.000
Casa;Casa en venta en USAQUEN;7;4;325;USAQUEN;USAQUEN;USAQUEN;$ 1.650.000.000
Apartamento;Apartamento en venta en Cedritos;3;2;96;Cedritos;USAQUEN;USAQUEN;$ 580.000.000
Apartamento;Apartamento en venta en Cedritos;3;3;108;Cedritos;USAQUEN;USAQUEN;$ 503.000.000
Apartamento;Apartamento en venta en Cedritos;4;3;135;Cedritos;USAQUEN;USAQUEN;$ 635.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;103;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 499.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;53;Cedritos;USAQUEN;USAQUEN;$ 371.000.000
Apartamento;Apartamento en venta en Tintala;3;2;56;Tintala;Tintala;Tintala;$ 179.000.000
Apartamento;Apartamento en venta en Teusaquillo;2;2;83;Teusaquillo;Teusaquillo;Teusaquillo;$ 348.200.000
Apartamento;Apartamento en venta en Barrancas;3;2;63;Barrancas;San Cristobal Norte;San Cristobal Norte;$ 238.000.000
Apartamento;Apartamento en venta en Ciudad Bolivar;3;2;59;Ciudad Bolivar;CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo;CIUDAD BOLÍVAR;$ 173.000.000
Apartamento;Apartamento en venta en USAQUEN;3;3;66;USAQUEN;USAQUEN;USAQUEN;$ 257.000.000
Apartamento;Apartamento en venta en Chico Reservado;2;4;104;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 1.100.000.000
Apartamento;Apartamento en venta en Engativa;3;2;70;Engativa;Engativa;Engativa;$ 298.500.000
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;100;Ciudad Salitre;Ciudad Salitre Oriental;Ciudad Salitre Oriental;$ 680.000.000
Apartamento;Apartamento en venta en Quinta Paredes;3;2;100;Quinta Paredes;Teusaquillo;Teusaquillo;$ 680.000.000
Apartamento;Apartamento en venta en Hayuelos;3;2;45;Hayuelos;Modelia;Modelia;$ 217.000.000
Apartamento;Apartamento en venta en USAQUEN;3;5;178;USAQUEN;USAQUEN;USAQUEN;$ 1.050.000.000
Casa;Casa en venta en USAQUEN;4;3;105;USAQUEN;USAQUEN;USAQUEN;$ 375.000.000
Apartamento;Apartamento en venta en Cedritos;4;4;158;Cedritos;USAQUEN;USAQUEN;$ 660.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;73;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 318.000.000
Apartamento;Apartamento en venta en Cedritos;3;2;98;Cedritos;USAQUEN;USAQUEN;$ 458.000.000
Apartamento;Apartamento en venta en Santa Barbara;1;2;69;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 425.000.000
Oficina/Consultorio;Oficina/Consultorio en venta en Ciudad Salitre;4;2;200;Ciudad Salitre;Ciudad Salitre Oriental;Ciudad Salitre Oriental;$ 2.000.000.000
Apartamento;Apartamento en venta en Kennedy;3;2;78;Kennedy;Kennedy Central;Kennedy Central;$ 343.000.000
Apartamento;Apartamento en venta en USAQUEN;3;4;100;USAQUEN;USAQUEN;USAQUEN;$ 730.000.000
Apartamento;Apartamento en venta en Candelaria La Nueva;3;1;54;Candelaria La Nueva;La Candelaria;La Candelaria;$ 140.000.000
Casa;Casa en venta en Zona Noroccidental;4;4;220;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.300.000.000
Apartamento;Apartamento en venta en Kennedy;3;2;89;Kennedy;Kennedy Central;Kennedy Central;$ 385.000.000
Apartamento;Apartamento en venta en USAQUEN;1;2;59;USAQUEN;USAQUEN;USAQUEN;$ 369.000.000
Apartamento;Apartamento en venta en Puente Aranda;1;2;51;Puente Aranda;PUENTE ARANDA: Zona Industrial + Puente Aranda;PUENTE ARANDA;$ 366.000.000
Apartamento;Apartamento en venta en USAQUEN;2;3;92;USAQUEN;USAQUEN;USAQUEN;$ 378.000.000
Apartamento;Apartamento en venta en Cedritos;1;2;54;Cedritos;USAQUEN;USAQUEN;$ 355.000.000
Apartamento;Apartamento en venta en La Calleja;3;3;121;La Calleja;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 700.000.000
Apartamento;Apartamento en venta en La Calleja;3;3;150;La Calleja;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 990.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;3;102;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 600.000.000
Apartamento;Apartamento en venta en Cedritos;3;3;122;Cedritos;USAQUEN;USAQUEN;$ 516.000.000
Apartamento;Apartamento en venta en Cedritos;3;3;82;Cedritos;USAQUEN;USAQUEN;$ 350.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;2;78;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 475.000.000
Apartamento;Apartamento en venta en Chapinero;3;2;141;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 749.000.000
Casa;Casa en venta en Zona Noroccidental;4;3;280;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.195.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;75;USAQUEN;USAQUEN;USAQUEN;$ 498.000.000
Apartamento;Apartamento en venta en Santa Barbara;1;1;35;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 269.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;43;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 153.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;4;3;82;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 335.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;77;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 399.000.000
Apartamento;Apartamento en venta en Cedritos;1;2;51;Cedritos;USAQUEN;USAQUEN;$ 373.000.000
Apartamento;Apartamento en venta en El Contador;2;2;70;El Contador;Los Cedros;Los Cedros;$ 415.000.000
Apartamento;Apartamento en venta en Bella Suiza;3;4;180;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 1.550.000.000
Apartamento;Apartamento en venta en El Contador;3;3;90;El Contador;Los Cedros;Los Cedros;$ 460.000.000
Apartamento;Apartamento en venta en Cedritos;2;1;52;Cedritos;USAQUEN;USAQUEN;$ 225.000.000
Apartamento;Apartamento en venta en Rafael Uribe Uribe;3;2;58;Rafael Uribe Uribe;Los Alcazares;Los Alcazares;$ 200.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;50;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 234.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;4;2;73;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 199.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;2;83;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 450.000.000
Apartamento;Apartamento en venta en Santa Barbara;5;5;375;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 1.400.000.000
Apartamento;Apartamento en venta en Engativa;3;2;49;Engativa;Engativa;Engativa;$ 202.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;2;54;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 350.000.000
Apartamento;Apartamento en venta en Santa Barbara;2;3;85;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 519.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;60;USAQUEN;USAQUEN;USAQUEN;$ 310.000.000
